Platform	Genre	Name	Year_Released	Developer
Wii	Platform	Epic Mickey	2010	Junction Point
X360	Sports	NBA 2K13	2012	Visual Concepts
PS2	Fighting	Dragon Ball Z: Budokai Tenkaichi 3	2007	"Spike, Namco Bandai Games"
PS2	Fighting	wwe Smackdown vs. Raw 2006	N/A	?
SNES	Shooter	Star Fox	1993	?
PC	Misc	The Sims: Livin Large	2000	Maxis
PS2	Sports	World Soccer Winning Eleven 6 International	2002	KCET
PS2	Action	Devil May Cry	2001	Capcom
PC	Role-Playing	Star Wars: The Old Republic	2011	"LucasArts, BioWare"
PS4	Action	Middle-Earth: Shadow of Mordor	2014	Monolith Productions
PS2	Platform	Sonic Heroes	2003	Sonic Team
PS2	Action	Hitman 2: Silent Assassin	2002	Io Interactive
XOne	Shooter	Titanfall	2014	Respawn Entertainment
PS3	Shooter	Battlefield: Bad Company 2	2010	EA DICE
N64	Racing	Wave Race 64	1996	?
PS2	Shooter	SOCOM II: U.S. Navy SEALs	2003	Zipper Interactive
PS2	Fighting	WWE SmackDown! vs. RAW 2006	2005	?
GBA	Puzzle	Pac-Man Collection	2001	Mass Media
X360	Fighting	Street Fighter IV	2009	Capcom
PS3	Action	inFAMOUS	2009	Sucker Punch
DS	Platform	Kirby Super Star Ultra	2008	HAL Labs
XOne	Shooter	Call of Duty: Ghosts	2013	Infinity Ward
X360	Sports	FIFA 15	2014	EA Sports
GBA	Platform	Super Mario World 2: Yoshi's Island	2002	?
X360	Role-Playing	Mass Effect	2007	BioWare
PS2	Misc	Sonic Mega Collection Plus	2004	Sonic Team
PS2	Sports	World Soccer Winning Eleven 7 International	2003	KCET
X360	Sports	Sega Superstars Tennis	2008	Sumo Digital
PS2	Sports	Hot Shots Golf 3	2001	Clap Hanz
Wii	Simulation	Cooking Mama: Cook Off	2007	OfficeCreate
PS2	Shooter	Call of Duty: Finest Hour	2004	Spark Unlimited
Wii	Puzzle	WarioWare: Smooth Moves	2006	Intelligent Systems
PS	Shooter	Syphon Filter	1999	?
DS	Simulation	Imagine: Babyz	2007	Ubisoft
PS	Racing	Colin McRae Rally	1998	?
X360	Sports	Madden NFL 13	2012	EA Tiburon
XB	Role-Playing	The Elder Scrolls III: Morrowind	2002	Bethesda Softworks
PS4	Action	Assassin's Creed IV: Black Flag	2013	Ubisoft
PC	Strategy	Command & Conquer: Red Alert	1996	?
SNES	Racing	F-Zero	1990	?
N64	Platform	Yoshi's Story	1997	?
PS3	Fighting	Mortal Kombat	2011	NetherRealm Studios
X360	Sports	Madden NFL 10	2009	EA Tiburon
PS2	Fighting	WWE SmackDown! vs. Raw	2002	?
X360	Shooter	BioShock	2007	"Irrational Games, 2K Marin"
GC	Shooter	Metroid Prime	2002	Retro Studios
PS3	Action	Assassin's Creed: Brotherhood	2010	Ubisoft Montreal
GBA	Action	Finding Nemo	2003	Vicarious Visions
Wii	Sports	Zumba Fitness 2	2011	"Majesco Games, Majesco"
PC	Adventure	Myst	1994	?
PS3	Shooter	Medal of Honor	2010	"EA DICE, Danger Close"
PS3	Racing	Need for Speed: Most Wanted	2012	?
DS	Simulation	Imagine: Fashion Designer	2007	Virtual Toys
PS2	Fighting	WWE SmackDown! Here Comes the Pain	2003	?
PS	Sports	Hot Shots Golf	1997	?
PS	Platform	A Bug's Life	1998	?
PS2	Fighting	WWF SmackDown! Just Bring It	2001	?
PS4	Action	inFAMOUS: Second Son	2014	Sucker Punch
SNES	Role-Playing	Dragon Quest V: Tenkuu no Hanayome	1992	?
PS	Fighting	Mortal Kombat Trilogy	1996	?
3DS	Role-Playing	Monster Hunter Tri	2011	?
PS2	Sports	NBA Street	2001	NuFX
PS2	Platform	Jak II	2003	Naughty Dog
PS2	Platform	Ratchet & Clank: Going Commando	2003	?
PS3	Racing	Need for Speed: Hot Pursuit	2010	Criterion Games
Wii	Action	Skylanders: Spyro's Adventure	2011	Toys for Bob
PC	Shooter	Battlefield 3	2011	EA DICE
PS4	Fighting	Mortal Kombat X	2015	"Warner Bros. Interactive Entertainment, NetherRealm Studios"
PS2	Simulation	The Sims	2003	Edge of Reality
PS3	Shooter	Killzone 3	2011	Guerrilla
X360	Action	Star Wars: The Force Unleashed	2008	LucasArts
XOne	Misc	Minecraft	2014	?
DS	Platform	Yoshi's Island DS	2006	Artoon
X360	Action	Saints Row: The Third	2011	Volition Inc.
2600	Shooter	Missile Command	1980	?
SNES	Misc	Mario Paint	1992	?
PS3	Fighting	Tekken 6	2009	Namco Bandai Games
N64	Strategy	Pokémon Stadium 2	2000	?
NES	Action	Metroid	1986	?
Wii	Platform	Sonic and the Secret Rings	2007	Sonic Team
PS3	Sports	FIFA 16	2015	EA Sports
GBA	Action	The Legend of Zelda: A Link to the Past	2002	Capcom
PS2	Action	Onimusha: Warlords	2001	Capcom
N64	Misc	Mario Party	1998	?
X360	Adventure	L.A. Noire	2011	Team Bondi
X360	Shooter	Call of Duty 3	2006	Treyarch
X360	Sports	Madden NFL 12	2011	EA Tiburon
PS2	Action	LEGO Star Wars II: The Original Trilogy	2006	Traveller's Tales
PS4	Shooter	Killzone: Shadow Fall	2013	Guerrilla
X360	Sports	Madden NFL 11	2010	EA Tiburon
PS2	Racing	Burnout 3: Takedown	2004	Criterion Games
3DS	Role-Playing	Yokai Watch 2 Shinuchi	2014	?
GEN	Fighting	Mortal Kombat	1992	?
DS	Puzzle	Mario vs. Donkey Kong: Mini-Land Mayhem!	2010	Nintendo
DS	Puzzle	Professor Layton and the Last Specter	2009	Level 5
PS2	Shooter	Call Of Duty 2: Big Red One	2005	Treyarch
PS	Shooter	Medal of Honor	1998	Dreamworks Interactive
XB	Role-Playing	Fable	2004	Big Blue Box
X360	Misc	Guitar Hero: World Tour	2008	Neversoft Entertainment
XOne	Sports	FIFA 17	2016	"EA Sports, EA Vancouver"
DS	Action	Hannah Montana	2006	DC Studios
PS2	Action	Tom Clancy's Splinter Cell	2003	Ubisoft Shanghai
NES	Platform	Super Mario Bros.: The Lost Levels	1986	?
PS3	Racing	Need for Speed: Shift	2009	Slightly Mad Studios
N64	Action	Star Wars: Shadows of the Empire	1996	?
PSP	Shooter	Medal of Honor Heroes	2006	Team Fusion
PS3	Role-Playing	Final Fantasy XIII-2	2011	Square Enix
PS2	Racing	Midnight Club: Street Racing	2000	Angel Studios
X360	Sports	Skate 3	2010	EA Black Box
PS2	Sports	ESPN NFL 2K5	2004	Visual Concepts
X360	Strategy	Halo Wars	2009	Ensemble Studios
X360	Sports	NBA 2K12	2011	Visual Concepts
PSP	Fighting	Pac-Man: Adventures in Time	2006	?
X360	Sports	FIFA Soccer 10	2009	EA Sports
X360	Shooter	Medal of Honor	2010	"Dice, Danger Close"
PS2	Action	Harry Potter and the Chamber of Secrets	2002	Electronic Arts
GEN	Action	Streets of Rage	1990	?
PS3	Action	God of War Collection	2009	Bluepoint Games
PS2	Sports	NBA Live 2005	2004	EA Canada
Wii	Sports	Mario Strikers Charged	2007	Next Level Games
PS3	Sports	FIFA Soccer 09	2008	EA Canada
DS	Simulation	Style Savvy	2008	syn Sophia
PS2	Fighting	WWE SmackDown vs. RAW 2007	2006	Yuke's
X360	Action	LEGO Star Wars: The Complete Saga	2007	Traveller's Tales
PS2	Platform	Ratchet & Clank: Up Your Arsenal	2004	?
PS2	Sports	Madden NFL 08	2007	EA Tiburon
PSP	Role-Playing	Monster Hunter Freedom 2	2007	Capcom
PS3	Platform	Ratchet & Clank Future: Tools of Destruction	2007	?
Wii	Platform	Super Mario All-Stars: Limited Edition	2010	?
GC	Platform	Sonic Adventure 2 Battle	2001	Sonic Team
NES	Role-Playing	Dragon Warrior II	1987	?
X360	Action	Ghostbusters: The Video Game (DS Version)	2009	?
PS3	Sports	Madden NFL 13	2012	EA Tiburon
X360	Role-Playing	Dragon Age: Origins	2009	BioWare
GC	Role-Playing	Pokémon Colosseum	2003	Genius Sonority Inc.
PSP	Platform	LittleBigPlanet	2009	"SCE/WWS, Media Molecule"
X360	Sports	Madden NFL 09	2008	EA Tiburon
2600	Shooter	Space Invaders	N/A	?
PS2	Racing	Crazy Taxi	2001	Acclaim Studios Cheltenham
DS	Misc	Art Academy	2010	Headstrong Games
X360	Sports	NBA 2K14	2013	Visual Concepts
N64	Action	Perfect Dark	2000	?
Wii	Action	Skylanders Giants	2012	Toys for Bob
NES	Role-Playing	Dragon Warrior	1986	?
Wii	Sports	Deca Sports	2008	CAProduction
PS2	Sports	PES 2009: Pro Evolution Soccer	2008	?
N64	Misc	Mario Party 2	1999	?
X360	Role-Playing	Marvel: Ultimate Alliance	2006	Raven Software
XB	Action	Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City	2003	?
PS2	Fighting	Mortal Kombat: Deadly Alliance	2002	Midway
Wii	Misc	Game Party	2007	Midway
PS4	Action	Bloodborne	2015	From Software
PS	Action	Tomb Raider: The Last Revelation	1998	?
GC	Misc	Mario Party 4	2002	Hudson
X360	Racing	Pure	2008	Black Rock Studio
X360	Misc	Rock Band	N/A	Harmonix Music Systems
PS3	Sports	NBA 2K13	2012	Visual Concepts
PS3	Action	Saints Row: The Third	2011	Volition Inc.
PS3	Shooter	Resistance 2	2008	Insomniac Games
PS4	Sports	NBA 2K15	2014	Visual Concepts
SNES	Role-Playing	Final Fantasy V	1992	?
PS	Role-Playing	Final Fantasy Tactics	1997	SquareSoft
PS3	Racing	Midnight Club: Los Angeles	2008	Rockstar San Diego
PS	Racing	Twisted Metal 2	1996	?
PS2	Simulation	The Sims: Bustin' Out	2003	Maxis
PC	Adventure	Riven: The Sequel to Myst	1997	Cyan Worlds
Wii	Action	LEGO Harry Potter: Years 1-4	2010	Traveller's Tales
PS4	Racing	Need for Speed (2015)	2015	?
XOne	Shooter	Call of Duty: Infinite Warfare	2016	Infinity Ward
XOne	Sports	Madden NFL 16	2015	EA Sports
NES	Sports	Ice Hockey	1988	?
DC	Platform	Sonic Adventure	1998	?
X360	Shooter	Tom Clancy's Rainbow Six: Vegas 2	2008	Ubisoft Montreal
Wii	Misc	uDraw Studio	2010	THQ
PS3	Action	Tomb Raider (2013)	2013	?
PSP	Racing	Need for Speed Carbon: Own the City	2006	EA Canada
PS2	Fighting	Dragon Ball Z: Budokai 2	2003	Dimps Corporation
PS3	Sports	pro evolution soccer 2011	2010	Konami
PS2	Racing	ATV Offroad Fury	2001	Rainbow Studios
PS	Action	Dino Crisis	1998	?
PS2	Racing	Need for Speed: ProStreet	2007	Black Box
X360	Shooter	Halo: Combat Evolved Anniversary	2011	343 Industries
PS	Puzzle	Tetris Plus	1996	?
NES	Fighting	Pro Wrestling	1987	?
PC	Strategy	Theme Hospital	1997	Bullfrog Productions
GBA	Adventure	Frogger's Adventures: Temple of the Frog	N/A	Konami Computer Entertainment Hawaii
PC	Misc	Monopoly	1994	?
GEN	?	?	1993	?
PS2	Misc	Guitar Hero	2005	Harmonix Music Systems
PS3	Sports	Madden NFL 11	2010	EA Tiburon
N64	Fighting	WCW/nWo Revenge	1998	?
PS2	Misc	Yu-Gi-Oh! The Duelists of the Roses	2001	?
X360	Action	Dead Island	2011	Techland
PC	Shooter	Half-Life 2	2004	Valve Software
PS2	Action	The Incredibles	2004	Heavy Iron Studios
X360	Sports	Madden NFL 08	2007	EA Tiburon
PS2	Sports	Tony Hawk's Underground 2	2004	Neversoft Entertainment
X360	Sports	Zumba Fitness	2010	"Pipeworks Software, Inc."
PS3	Sports	Madden NFL 10	2009	EA Tiburon
GB	Platform	Kirby's Dream Land 2	1995	?
X360	Racing	Midnight Club: Los Angeles	2008	Rockstar San Diego
GB	Platform	Donkey Kong Land II	1996	?
GB	Role-Playing	Dragon Warrior Monsters	1998	?
X360	Misc	Kinect: Disneyland Adventures	2011	Frontier Developments
PS2	Fighting	WWE SmackDown vs Raw 2008	2007	Yuke's
3DS	Action	The Legend of Zelda: Majora's Mask 3D	2015	GREZZO
Wii	Action	LEGO Indiana Jones: The Original Adventures	N/A	Traveller's Tales
PS2	Action	Resident Evil - Code: Veronica X	2001	Capcom
XOne	Sports	NBA 2K16	2015	Visual Concepts
X360	Sports	Kinect Sports: Season Two	2011	"Rare Ltd., BigPark"
Wii	Sports	My Fitness Coach	2008	Ubisoft
N64	Sports	Mario Tennis	2000	?
PS	Action	Grand Theft Auto	1997	?
PS2	Shooter	James Bond 007: Everything or Nothing	2004	EA Redwood Shores
PS	Racing	Need For Speed: High Stakes	1999	EA Canada
SNES	Role-Playing	Chrono Trigger	1995	?
PC	Action	Guild Wars 2	2012	ArenaNet
PS	Sports	Cool Boarders 3	1998	?
3DS	Role-Playing	Paper Mario: Sticker Star	2012	Intelligent Systems
DS	Puzzle	WarioWare Touched!	2004	?
PS3	Action	Batman: Arkham Origins	2013	WB Games Montreal
PC	Action	Tomb Raider II	1997	Core Design Ltd.
3DS	Action	Yokai Watch Busters	2015	?
PS3	Action	LEGO Star Wars: The Complete Saga	2007	Traveller's Tales
XB	Racing	Need for Speed Underground 2	2004	EA Canada
PS3	Sports	Pro Evolution Soccer 2010	2009	Konami
NES	Platform	Mario Bros.	1983	?
PS2	Sports	FIFA Soccer 09	2008	EA Canada
DS	Action	LEGO Harry Potter: Years 1-4	2010	TT Fusion
X360	Simulation	The Sims 3	2010	The Sims Studio
DS	Role-Playing	Pokemon Ranger: Shadows of Almia	2008	"HAL Labs, Creatures Inc."
PS	Racing	TOCA Touring Car Championship	1997	?
PS3	Action	Dead Island	2011	Techland
GBA	Platform	Kirby: Nightmare in Dream Land	2002	HAL Labs
GBA	Platform	Wario Land 4	2001	Nintendo
PS3	Misc	Sonic's Ultimate Genesis Collection	2009	Backbone Entertainment
PS4	Action	Far Cry: Primal	2016	Ubisoft Montreal
XOne	Shooter	Battlefield 1	2016	EA DICE
PS2	Adventure	Onimusha 2: Samurai's Destiny	2002	Capcom
PS	Sports	Cool Boarders 2	1997	?
GC	Role-Playing	Paper Mario: The Thousand-Year Door	2004	Intelligent Systems
PS3	Sports	Madden NFL 12	2011	EA Tiburon
PS3	Action	God of War: Ascension	2013	SCE Santa Monica
PS3	Misc	Guitar Hero III: Legends of Rock	2007	Neversoft Entertainment
GBA	Platform	Sonic Advance	2001	Sonic Team
Wii	Misc	Super Monkey Ball: Banana Blitz	2006	Sega
Wii	Misc	Just Dance Kids	2010	Ubisoft
Wii	Shooter	Call of Duty 3	N/A	Exakt
WiiU	Platform	New Super Luigi U	2013	Nintendo
XOne	Action	Assassin's Creed IV: Black Flag	2013	Ubisoft
GBA	Platform	Spyro: Season of Ice	2001	Digital Eclipse
PSP	Fighting	Dissidia: Final Fantasy	2008	Square Enix
X360	Sports	Madden NFL 25	2013	EA Sports
NES	Action	Teenage Mutant Ninja Turtles II: The Arcade Game	1990	?
PS2	Simulation	Dance Dance Revolution X2	2009	Konami
PS3	Shooter	Borderlands 2	2012	Gearbox Software
PS2	Action	Prince of Persia: The Sands of Time	2003	Ubisoft
Wii	Role-Playing	Monster Hunter Tri	2009	Capcom
X360	Action	LEGO Marvel Super Heroes	2013	TT Games
GB	Adventure	The Legend of Zelda: Link's Awakening DX	1998	?
Wii	Action	Resident Evil 4	2007	?
PS4	Shooter	Tom Clancy's Rainbow Six: Siege	2015	Ubisoft Montreal
PS3	Action	Star Wars: The Force Unleashed	2008	LucasArts
PS2	Action	Devil May Cry 3: Dante's Awakening Special Edition	2006	?
2600	Action	Frogger	1981	?
X360	Misc	Guitar Hero II	2007	Harmonix Music Systems
XOne	Racing	Forza Motorsport 5	2013	Turn 10
X360	Misc	Rock Band 2	2008	Harmonix Music Systems
NES	Sports	Pro Yakyuu Family Stadium	1986	?
GB	Platform	Wario Land 3	2000	?
X360	Racing	Need for Speed: Hot Pursuit	2010	Criterion Games
DS	Action	LEGO Indiana Jones: The Original Adventures	2008	TT Fusion
X360	Shooter	BioShock 2	2010	2K Marin
DS	Puzzle	High School Musical: Makin' the Cut!	2007	?
XB	Role-Playing	Star Wars: Knights of the Old Republic	2003	BioWare
GB	Misc	Kirby's Pinball Land	1992	?
GB	Platform	Donkey Kong Country	2000	?
PS4	Sports	Madden NFL 15	2014	EA Sports
PS3	Action	Pro Evolution Soccer 2012	2011	Konami
X360	Action	Saints Row	2006	Volition Inc.
GB	Role-Playing	Yu-Gi-Oh: Duel Monsters 4	2000	?
PS2	Racing	ATV Offroad Fury 2	2002	Rainbow Studios
XOne	Sports	FIFA 15	2014	EA Sports
GBA	Role-Playing	Mario & Luigi: Superstar Saga	2003	?
N64	Simulation	Star Wars: Rogue Squadron	1998	?
NES	Sports	Tennis	1984	?
XOne	Shooter	Tom Clancy's The Division	2016	Massive Entertainment
X360	Role-Playing	Final Fantasy XIII	2010	Square Enix
PC	Simulation	The Sims: House Party	2001	Maxis
DS	Puzzle	Scribblenauts	2009	5TH Cell
Wii	Platform	Sonic Unleashed	2008	Sonic Team
PS	Shooter	Syphon Filter 2	2000	?
DS	Role-Playing	Pokemon Ranger	2006	HAL Labs
NES	Sports	Volleyball	1987	?
Wii	Platform	Skylanders SWAP Force	2013	Beenox
PS4	Shooter	Overwatch	2016	Blizzard Entertainment
PS3	Action	Hitman: Absolution	2012	Io Interactive
PC	Simulation	SimCity 2000	1992	?
NES	Racing	R.C. Pro-Am	1988	?
SNES	Role-Playing	Super Mario RPG: Legend of the Seven Stars	1996	?
NES	Misc	Mahjong	1983	?
2600	Shooter	Demon Attack	1981	?
PSP	Shooter	Call of Duty: Roads to Victory	2007	Amaze Entertainment
PS2	Simulation	Dance Dance Revolution Extreme	2004	KCET
GBA	Role-Playing	Final Fantasy Tactics Advance	2003	Square Enix
Wii	Sports	Your Shape featuring Jenny McCarthy	2009	Ubisoft
XB	Racing	Project Gotham Racing	2001	Bizarre Creations
GB	Sports	Golf	1989	?
PS3	Sports	NBA 2K12	2011	Visual Concepts
N64	Sports	Tony Hawk's Pro Skater	2000	?
PS2	Racing	Need for Speed: Hot Pursuit 2	2002	Black Box
PS3	Sports	PES 2009: Pro Evolution Soccer	2008	?
PS2	Action	Dynasty Warriors 4	2003	Omega Force
PS3	Sports	NBA 2K14	2013	Visual Concepts
PS	Role-Playing	Parasite Eve	1998	SquareSoft
DS	Puzzle	Tetris DS	2006	Nintendo
XB	Action	Project Gotham Racing (JP weekly sales)	2002	?
PS2	Platform	Scooby-Doo! Night of 100 Frights	2002	?
PS4	Shooter	Battlefield: Hardline	2015	Visceral Games
X360	Fighting	Mortal Kombat	2011	NetherRealm Studios
PS3	Shooter	Borderlands	2009	Gearbox Software
PS2	Action	Devil May Cry 3: Dante's Awakening	2005	Capcom
PS	Sports	Derby Stallion	1997	?
X360	Action	NBA 2K11	2010	Visual Concepts
PS2	Action	Finding Nemo	2003	?
PS4	Action	Dying Light	2015	Techland
3DS	Role-Playing	Yokai Watch	2013	?
X360	Action	Dead Rising	2006	Capcom
PC	Role-Playing	World of Warcraft: Cataclysm	2010	Blizzard Entertainment
PS2	Puzzle	Tetris Worlds	2002	Blue Planet Software
DS	Role-Playing	Final Fantasy III	2006	Matrix Software
PC	Strategy	Sim Theme Park	1998	Bullfrog Productions
GC	Misc	Mario Party 5	2003	Hudson
Wii	Misc	Rock Band	N/A	Harmonix Music Systems
PC	Strategy	Warcraft: Orcs & Humans	1994	?
3DS	Role-Playing	Mario & Luigi: Dream Team	2013	?
X360	Shooter	Portal 2	2011	Valve Software
Wii	Sports	Mario Sports Mix	2010	Square Enix
PSP	Racing	Need for Speed: Most Wanted 5-1-0	2005	EA Canada
PS	Shooter	Spec Ops: Airborne Commando	2002	?
DS	Simulation	The Sims 2: Pets	2006	Full Fat
Wii	Simulation	Dance Dance Revolution: Hottest Party	2007	Konami
PS4	Racing	DriveClub	2014	Evolution Studios
GBA	Strategy	Yu-Gi-Oh! The Eternal Duelist Soul	2001	?
X360	Fighting	UFC 2009 Undisputed	2009	Yuke's
PSP	Action	Metal Gear Solid: Peace Walker	2010	Kojima Productions
Wii	Platform	Kirby's Epic Yarn	2010	?
Wii	Misc	Wipeout: The Game	2009	?
GBA	Role-Playing	Pokemon Mystery Dungeon: Red/Blue Rescue Team	2005	?
GBA	Action	The Incredibles	2004	Helixe
PS	Racing	R4: Ridge Racer Type 4	1998	Namco
PSP	Role-Playing	Kingdom Hearts: Birth by Sleep	2010	Square Enix
X360	Action	Tom Clancy's Splinter Cell: Conviction	2010	?
PS2	Fighting	SoulCalibur II	2003	Namco
X360	Racing	Need for Speed: ProStreet	2007	EA Black Box
GC	Misc	Sonic Mega Collection	2002	Sonic Team
PS3	Action	Ghostbusters: The Video Game (DS Version)	2010	?
X360	Sports	Madden NFL 15	2014	EA Sports
PS3	Racing	Need For Speed: Undercover	2008	EA Vancouver
DS	Action	Toy Story 3: The Video Game	2010	?
GEN	Sports	NBA Jam	1992	?
PS2	Shooter	SOCOM: U.S. Navy SEALs: Combined Assault	2006	Zipper Interactive
PS2	Action	Peter Jackson's King Kong: The Official Game of the Movie	2005	Ubisoft Montpellier
PS3	Racing	Need for Speed: ProStreet	2007	EA Black Box
GBA	Platform	Donkey Kong Country	2003	Rare Ltd.
X360	Misc	Dance Central 2	2011	Harmonix Music Systems
X360	Racing	PGR4 - Project Gotham Racing 4	2007	?
N64	Sports	1080°: TenEighty Snowboarding	1998	?
DS	Misc	Carnival Games	2008	Cat Daddy Games
PS2	Sports	NBA Live 2004	2003	EA Sports
X360	Shooter	Call of Duty 2	2005	Infinity Ward
Wii	Misc	Rayman Raving Rabbids: TV Party	2008	"Ubisoft Paris, Ubisoft Montpellier"
DS	Role-Playing	Pokémon Mystery Dungeon: Blue Rescue Team	2005	ChunSoft
PS3	Role-Playing	Dark Souls	2011	From Software
X360	Misc	Just Dance 3	2011	Ubisoft
XOne	Shooter	Battlefield 4	2013	EA DICE
3DS	Role-Playing	Fire Emblem: Awakening	2012	Intelligent Systems
PS3	Action	Need for Speed: The Run	2011	Black Box
Wii	Misc	Just Dance 2015	2014	Ubisoft
PS4	Role-Playing	Dragon Age: Inquisition	2014	BioWare
SNES	Fighting	Super Street Fighter II	1993	?
PS3	Action	Dead Space	2008	EA Redwood Shores
PS3	Fighting	Mortal Kombat vs. DC Universe	2008	Midway
DS	Puzzle	TouchMaster	2007	Midway Studios - San Diego
PS	Action	Tenchu: Stealth Assassins	1997	Acquire
GB	Sports	Tennis	1989	?
GBA	Action	Harry Potter and the Chamber of Secrets	2002	Eurocom Entertainment Software
DS	Role-Playing	Kingdom Hearts 358/2 Days	2009	h.a.n.d. Inc.
PS3	Sports	Skate 3	2010	EA Black Box
SNES	Simulation	SimCity	1991	?
PS	Action	Harry Potter and the Chamber of Secrets	2002	Argonaut Games
PS4	Racing	Need for Speed Rivals	2013	Ghost Games
PS2	Platform	Spyro: Enter the Dragonfly	2002	Check Six Games
PS2	Action	Devil May Cry 2	2003	Capcom
2600	Action	E.T.: The Extra Terrestrial	1981	?
PSP	Sports	Hot Shots Golf: Open Tee	2004	Clap Hanz
PSV	Misc	Minecraft	2014	?
NES	Sports	Soccer	1985	?
NES	Racing	Rad Racer	1986	?
X360	Racing	Forza Horizon	2012	"PLAYGROUND, Playground Games"
X360	Shooter	Tom Clancy's Rainbow Six: Vegas	2006	Ubisoft Montreal
PS2	Racing	Crash Nitro Kart	2003	Vicarious Visions
X360	Shooter	Resident Evil 6	2012	Capcom
XB	Action	Grand Theft Auto: San Andreas	2005	Rockstar North
PC	Shooter	Star Wars: Dark Forces	1994	?
PS2	Sports	NBA Street Vol. 2	2003	Electronic Arts
PS2	Fighting	Def Jam Vendetta	2003	Aki Corp.
DS	Platform	Kirby Squeak Squad	2006	"Flagship, HAL Labs"
PS3	Racing	Burnout Paradise	2008	Criterion Games
PC	Misc	Who wants to be a millionaire	1999	Jellyvision
GB	Puzzle	Alleyway	1989	?
PS	Adventure	Scooby Doo and the Cyber Chase	2001	Art
PS3	Simulation	The Sims 3	2010	The Sims Studio
X360	Sports	FIFA Soccer 09	2008	EA Canada
PS2	Fighting	Dragon Ball Z: Budokai 3	2004	Dimps Corporation
Wii	Shooter	Call of Duty: World at War	2008	Exakt
PS	Racing	Jet Moto 2	1997	?
PS2	Shooter	Tom Clancy's Ghost Recon	2002	Ubisoft
X360	Shooter	BioShock Infinite	2013	Irrational Games
PS2	Role-Playing	X-Men Legends	2004	Raven Software
SNES	Fighting	Mortal Kombat II	1993	?
SAT	Fighting	Virtua Fighter 2	1995	?
X360	Fighting	Mortal Kombat vs. DC Universe	2008	Midway
PS4	Shooter	Destiny: The Taken King	2015	Bungie
